time,IA_TempMax,IL_TempMax,IN_TempMax,MN_TempMax,MO_TempMax,NE_TempMax,OH_TempMax,SD_TempMax,,,,,,,,,,
01/01/1985,-9.2,6.7,13.5,-17.1,4.3,-8,15.2,-12.5,,,,,,,,,,
02/01/1985,-10.9,-5.4,-1.3,-15.5,-4.6,-2.8,2.8,-4.9,,,,,,,,,,
03/01/1985,-8.4,-6.3,-1.8,-4.9,-5.8,0.3,-0.2,0.7,,,,,,,,,,
04/01/1985,0,-2.5,-1.2,0.1,-0.9,3.7,0,2.5,,,,,,,,,,
05/01/1985,0.2,1,1.1,-0.4,1.1,5.3,0,4.4,,,,,,,,,,
06/01/1985,1.8,0.4,0.1,-0.4,2.7,4.6,1.7,2.4,,,,,,,,,,
07/01/1985,1.3,1.6,1.1,-1.5,2.8,3.5,1.6,0.6,,,,,,,,,,
08/01/1985,-0.9,0.2,-0.5,-11.3,1.6,-0.6,-0.8,-3.2,,,,,,,,,,
09/01/1985,-5,-3.1,-5.2,-12.4,-0.8,-6.3,-7.3,-9,,,,,,,,,,
10/01/1985,-5.4,-3.8,-3.1,-13,-1.7,-5.9,-3.3,-10.4,,,,,,,,,,
11/01/1985,-7.3,-4.9,-4,-13,-4.6,-9.3,-4.1,-13.6,,,,,,,,,,
12/01/1985,-10.4,-7.8,-6.3,-7.2,-8.7,-5.4,-7.2,-3.1,,,,,,,,,,
13/01/1985,-0.1,-1.7,-3.6,0.5,0,1,-5.2,1.2,,,,,,,,,,
14/01/1985,0.5,0.5,0.1,-0.4,0.3,-0.7,-0.8,0.1,,,,,,,,,,
15/01/1985,-10.4,-9.2,-7.8,-12,-4.7,-2.1,-4.2,-2,,,,,,,,,,
16/01/1985,-5.5,-4.3,-4.9,-10,-0.2,-1,-6.8,-1.9,,,,,,,,,,
17/01/1985,-1.8,-2.4,-2.1,-7.1,0.6,2.6,-1.4,2.9,,,,,,,,,,
18/01/1985,0.4,0.1,-0.2,-8.1,2.6,2.5,-1.2,2.1,,,,,,,,,,
19/01/1985,-13.8,-6.7,-4.5,-24,-2.7,-0.9,-2.1,-7.4,,,,,,,,,,
20/01/1985,-19.7,-21.2,-21.7,-16.8,-15.3,-11.9,-17.7,-14.4,,,,,,,,,,
21/01/1985,-8.6,-10,-12,-8.2,-7.5,-7.9,-15.8,-9.2,,,,,,,,,,
22/01/1985,-7.2,-6.6,-7.1,-8.5,-3.2,-6,-6.9,-6.7,,,,,,,,,,
23/01/1985,-5.2,-4.3,-5.3,-6.2,0.2,-0.6,-6.5,-1,,,,,,,,,,
24/01/1985,-1.5,-0.4,-1.3,-4.9,1.5,1.5,-2.1,0.7,,,,,,,,,,
25/01/1985,-0.2,-0.2,-1.6,-9.1,1.1,1.4,-2.1,-0.4,,,,,,,,,,
26/01/1985,-4.3,-10,-11,-5.1,-2.3,0.8,-7.4,0.3,,,,,,,,,,
27/01/1985,-2.3,-1.3,-2.5,-3.4,0.4,-1,-4.1,-1.3,,,,,,,,,,
28/01/1985,-8.1,-3,-2.7,-13.8,-1.4,-0.9,-3.8,-4.6,,,,,,,,,,
29/01/1985,-3.3,-6.2,-6.4,-7.3,-0.7,-0.8,-6.6,-4.6,,,,,,,,,,
30/01/1985,-4,-1.7,-1.2,-10,-0.2,-3.7,-2.8,-10,,,,,,,,,,
31/01/1985,-17.3,-3.8,-1.6,-23.3,-6.6,-14,-0.6,-16,,,,,,,,,,
01/02/1985,-15.9,-14.8,-11.8,-24.1,-12.3,-14.6,-3.8,-17.1,,,,,,,,,,
02/02/1985,-12.8,-14,-11.3,-18.2,-10.4,-10.8,-10.7,-14.2,,,,,,,,,,
03/02/1985,-10.6,-10.4,-11,-20.2,-7.6,-11,-11.2,-16.9,,,,,,,,,,
04/02/1985,-12.1,-8.4,-8.7,-20.6,-5.3,-12.3,-9.5,-16.3,,,,,,,,,,
05/02/1985,-9.1,-4.3,-2.6,-13.6,-4.2,-9.1,-1.7,-10.3,,,,,,,,,,
06/02/1985,-10.8,-6,-4.2,-14.2,-5.2,-10.1,-2,-13.6,,,,,,,,,,
07/02/1985,-13.5,-10.5,-8.6,-15.3,-8.5,-7.6,-9,-13.1,,,,,,,,,,
08/02/1985,-9.8,-10.3,-9.5,-12.7,-4.6,-2,-9.2,-5.5,,,,,,,,,,
09/02/1985,-6.2,-5,-7.5,-8.7,0,-1.3,-9,-4,,,,,,,,,,
10/02/1985,-4.3,-0.6,-1.5,-8.4,2.2,-6.9,-4.6,-10.4,,,,,,,,,,
11/02/1985,-6.2,-0.3,1.1,-11.6,0.1,-4.5,0.9,-5.6,,,,,,,,,,
12/02/1985,-8.8,-3.2,-0.1,-12.1,-4.6,-2.5,1.2,-3.9,,,,,,,,,,
13/02/1985,-4.7,-5.6,-5.4,-9.4,0.7,0.4,-0.9,-1.7,,,,,,,,,,
14/02/1985,-6.8,-4.7,-6.1,-12.3,-0.8,-0.9,-6.1,-3.9,,,,,,,,,,
15/02/1985,-8.8,-10.1,-9.6,-11.6,-2.7,2.7,-8.3,3.3,,,,,,,,,,
16/02/1985,0.8,0.8,-0.2,-2.1,3.2,2.6,-2.5,3.1,,,,,,,,,,
17/02/1985,0.5,0.7,0.5,-3,4.4,1.9,-0.1,3.7,,,,,,,,,,
18/02/1985,0.5,1.6,1.1,-3.3,4.2,2.3,-0.2,2.5,,,,,,,,,,
19/02/1985,0.9,0.8,1.2,-1.9,4.8,5.4,0.7,6.7,,,,,,,,,,
20/02/1985,2.3,2.3,1.5,0.5,8.1,8.4,0,7.8,,,,,,,,,,
21/02/1985,5.8,7.3,5.3,1.1,12.3,6.6,2.9,4.7,,,,,,,,,,
22/02/1985,4.6,11.3,9.7,0.4,15.2,6,7.8,6.7,,,,,,,,,,
23/02/1985,3.8,13.7,14.4,0.8,14.6,3.8,13.2,3.6,,,,,,,,,,
24/02/1985,3,10.3,13,0.4,9.4,8.5,14.4,8.4,,,,,,,,,,
25/02/1985,7,4.7,4.5,1.9,8.9,10.7,8.7,8,,,,,,,,,,
26/02/1985,4.5,7,7.9,0.4,8.2,7,6.6,4.2,,,,,,,,,,
27/02/1985,5.7,4.4,5.9,-0.3,7.5,8.2,4.8,7.2,,,,,,,,,,
28/02/1985,10.1,8.5,7.1,4.1,10.9,11.3,6.4,11,,,,,,,,,,
01/03/1985,8.2,7.1,6.7,2.9,11.7,11,8.7,7.7,,,,,,,,,,
02/03/1985,5.2,7.2,6.2,-2.8,10,8.8,5.4,4,,,,,,,,,,
03/03/1985,3.6,6.5,5.6,-5.2,12.7,8.8,5.3,-3.5,,,,,,,,,,
04/03/1985,8,13.6,13.5,-5,15.7,1.9,14.4,-5.9,,,,,,,,,,
05/03/1985,-0.4,3.1,6.4,-5.2,5.8,2.8,12.9,-3.3,,,,,,,,,,
06/03/1985,4,4,3,-1.7,8.6,11.1,1.4,2.8,,,,,,,,,,
07/03/1985,6.1,7.9,7.1,0.6,13.3,9.5,7.4,2.6,,,,,,,,,,
08/03/1985,10,11,10.3,0.8,14.1,12.3,10.6,4.4,,,,,,,,,,
09/03/1985,13.2,12.8,10.2,1.9,15.5,14.7,6.9,6.2,,,,,,,,,,
